source,target,weight
149,180,10.1816
149,244,9.2881
149,345,8.6733
149,579,8.1738
149,665,7.4015
149,636,7.3186
149,457,7.0585
149,649,6.7581
149,481,6.0327
149,340,5.8766
149,197,5.7425
149,223,5.5698
149,354,5.1297
149,383,4.7017
149,472,4.6759
149,742,4.642
149,1017,4.6143
149,288,4.5412
149,608,4.5128
149,1086,4.5087
149,1218,4.4872
149,615,4.3723
149,263,4.1973
149,330,4.1538
149,418,4.0361
149,667,3.9402
149,648,3.9263
149,230,3.8883
149,654,3.8755
149,431,3.8035
149,425,3.7746
149,1157,3.6311
149,162,3.6309
149,622,3.507
256,445,7.2721
256,617,7.1475
256,566,6.3718
256,767,5.268
256,476,4.9658
256,312,4.7206
256,1157,4.4934
256,731,4.1567
256,758,4.0276
256,714,4.0204
256,636,3.8133
256,857,3.7817
256,747,3.6029
256,720,3.537
256,310,3.4482
256,263,3.4357
256,739,3.387
256,394,3.305
256,429,3.2161
256,648,3.1927
256,457,3.1911
256,342,3.1667
256,852,3.135
256,579,3.0985
256,676,2.5368
256,785,2.5196
256,605,2.494
256,367,2.4822
256,520,2.4779
139,470,9.5434
139,153,9.148
139,338,7.1788
139,704,7.144
139,753,6.9803
139,205,6.8182
139,838,6.1746
139,229,6.1391
139,997,5.6303
139,587,5.5646
139,911,5.3838
139,212,4.8347
139,355,4.3027
139,285,3.9298
139,426,3.782
139,459,3.6405
139,1354,3.6003
139,1061,3.5978
139,169,3.5351
139,210,3.4854
139,407,3.4582
139,800,3.3963
139,277,3.366
139,532,3.3486
139,726,3.2999
139,354,3.2429
139,463,3.2428
139,1000,3.2282
139,512,3.1416
139,1173,3.1085
139,1251,2.9732
139,588,2.9499
139,357,2.912
139,149,2.8828
139,340,2.8778
139,642,2.8777
139,517,2.8745
139,381,2.8394
139,369,2.8268
145,648,16.1852
145,149,15.3524
145,345,12.4972
145,579,12.4868
145,457,11.8708
145,244,9.7887
145,223,9.6507
145,636,9.5693
145,649,9.4924
145,256,9.2881
145,1157,9.1092
145,330,8.961
145,472,8.7407
145,162,8.5847
145,864,8.474
145,458,8.2385
145,608,8.1232
145,288,7.8486
145,173,7.8105
145,476,7.7567
145,383,7.2172
145,504,7.2165
145,263,6.9009
145,197,6.4646
145,731,5.9067
145,622,5.5274
145,759,5.3199
145,809,5.1335
145,852,5.1263
145,596,5.0433
145,532,4.88
145,1072,4.8022
145,665,4.6912
145,386,4.6376
145,465,4.604
145,379,4.4525
145,714,4.3664
596,665,6.2902
596,636,3.7802
596,961,3.7464
596,674,3.3912
596,648,3.3275
596,759,2.9962
596,625,2.8836
596,731,2.8431
596,984,2.713
596,672,2.3398
596,659,2.253
596,1003,2.222
596,697,2.1928
596,771,1.9685
271,392,5.8472
271,767,4.7429
271,445,4.366
271,362,4.2403
271,491,4.1726
271,391,4.0499
271,489,3.7664
271,738,3.6765
271,724,3.6642
271,723,3.3051
271,460,3.191
271,805,3.1551
271,885,3.15
271,733,3.0464
271,322,3.0016
271,894,2.8774
271,921,2.8255
271,1288,2.7541
271,333,2.7259
271,566,2.6699
271,1314,2.636
580,749,5.6561
580,588,5.2003
580,1030,5.1836
580,754,4.9886
580,808,4.6385
580,679,4.5343
580,626,3.9589
580,638,3.948
580,642,3.53
580,782,3.3359
580,1131,3.2656
580,719,3.2403
580,591,3.0606
25,71,16.4634
25,281,15.6436
25,514,13.8549
25,273,13.6161
25,737,12.5804
25,111,12.1816
25,232,11.8142
25,581,11.689
25,186,10.5924
25,62,10.457
25,385,10.1859
25,664,9.7641
25,42,9.4591
25,176,9.4172
25,506,9.3563
25,47,8.6934
25,253,8.6796
25,236,7.9876
25,189,7.9127
25,1044,7.8649
25,341,7.5034
25,936,7.1023
25,451,6.6679
25,66,6.6219
25,478,6.3979
25,192,6.3774
25,396,6.0877
25,291,5.9675
25,981,5.9587
25,27,5.8512
25,808,5.7136
25,750,5.655
25,216,5.6278
25,207,5.6237
25,819,5.5267
25,425,5.4443
25,82,5.4003
25,147,5.3902
25,656,5.3741
25,578,5.2856
25,86,5.2744
25,268,5.1544
25,36,5.0622
25,830,5.054
25,406,5.0207
25,289,4.9667
608,1202,6.5488
608,1120,6.1318
608,718,6.0411
608,797,5.4387
608,832,5.075
608,852,4.9986
608,731,4.0407
608,1255,3.7922
608,1103,3.7825
608,949,3.6456
608,734,3.5305
492,564,7.6599
492,748,7.0863
492,684,5.7893
492,1184,5.7788
492,584,5.2506
492,767,5.0655
492,1028,4.83
492,1118,4.2088
492,1295,4.1892
492,833,4.1613
492,1026,4.0873
492,829,3.8485
492,556,3.7959
492,698,3.6171
492,499,3.548
863,1157,3.7249
863,1046,2.7512
863,1170,2.7412
863,1307,2.0746
863,1230,2.0681
863,1227,1.6022
863,886,1.5151
75,331,23.5585
75,137,15.6697
75,130,15.6051
75,312,13.266
75,708,11.8078
75,249,11.3349
75,1011,9.6175
75,541,9.5816
75,445,7.5761
75,919,7.3877
75,687,7.3028
75,606,7.2159
75,342,7.1575
75,271,6.5388
75,1007,6.3655
75,1157,6.3005
75,547,6.1614
75,136,5.7757
75,125,5.7525
75,865,5.6419
75,179,5.5903
75,749,5.4981
75,1153,5.4827
75,245,5.4803
75,648,5.428
75,677,5.3406
75,431,4.9136
75,100,4.8084
75,556,4.7775
75,890,4.7354
75,473,4.713
75,558,4.689
75,166,4.6862
75,131,4.6647
75,471,4.6298
75,265,4.5952
75,296,4.3262
75,237,4.321
75,1209,4.3161
434,993,5.746
434,997,4.9731
434,828,4.7592
434,607,3.9376
434,926,3.434
434,538,3.2417
434,761,2.8533
434,753,2.7532
434,998,2.7206
434,660,2.6006
434,740,2.5802
434,1258,2.5509
434,836,2.5279
373,387,9.0991
373,463,7.5695
373,506,6.0189
373,1188,4.6006
373,525,3.5118
373,849,3.4011
373,609,3.2658
373,912,3.2042
373,909,3.0827
373,1256,3.0625
373,1002,3.0532
373,517,3.0027
373,901,2.8735
373,783,2.7515
373,1142,2.735
373,1019,2.6777
373,487,2.5536
373,1333,2.5018
373,642,2.4905
373,1301,2.4741
373,1349,2.4424
373,1251,2.2819
373,737,2.2183
373,900,2.2088
373,855,2.201
373,811,2.1992
373,547,2.196
373,697,2.1935
152,297,36.9231
152,584,17.0519
152,1015,14.2327
152,583,14.1169
152,744,13.7864
152,367,12.6561
152,764,11.1975
152,1027,9.7923
152,286,8.8944
152,227,6.9737
152,322,6.2156
152,296,6.1389
152,565,5.4309
152,385,5.3746
152,547,5.2195
152,347,5.215
152,193,4.8666
152,1021,4.728
152,702,4.6315
152,273,4.5716
152,352,4.4596
