id,label,size
0,3p・4p,26
1,mountain documentary,19
2,unfaithful wife,18
3,bittersweet,18
4,hunter,18
5,friends reunion,18
6,dreamlike,17
7,self-reflexive,17
8,20th century,16
9,solo,16
10,crossbow,16
11,big butts,16
12,drug rehabilitation,16
13,spacecraft,16
14,ransom,15
15,shogun,15
16,copenhagen,15
17,public information,15
18,female wrestler,15
19,super robot,15
20,struggling actor,15
21,war on terror,14
22,dirty talk,14
23,nazi officer,14
24,israel,14
25,cops,14
26,stand-up comedy,14
27,greenwich village,14
28,5th century,14
29,amateur football (soccer),14
30,african american man,14
31,psychedelic,14
32,abusive boyfriend,14
33,loss and grief,14
34,paraplegic,14
35,inuit,14
36,reporter,14
37,campfire,14
38,original musical,14
39,rich family,14
40,world war ii,14
41,bartender,14
42,gang rape,14
43,nude swimming,14
44,rock opera,14
45,catfight,13
46,theatre performance,13
47,racial injustice,13
48,grave,13
49,siblings,13
50,radio dj,13
51,german politics,13
52,brazilian politics,13
53,flying,13
54,coven (akelarre),13
55,colonel,13
56,stoner movie,13
57,usa president,13
58,québec,13
59,geek,13
60,class society,13
61,one on one,13
62,bomber,13
63,prostitute,13
64,magic,13
65,princess,13
66,stalked by a killer,13
67,environmentalism,13
68,cycling,13
69,motorsport,13
70,time,13
71,drug dealing,13
72,train travel,13
73,north africa,13
74,balkan war,13
75,female teacher,13
76,trans women,13
77,goat climber,12
78,mind control theatre,12
79,employment,12
80,video surveillance,12
81,computer animation,12
82,dog hero,12
83,backcountry,12
84,trance,12
85,flower,12
86,nightclub performer,12
87,porn star,12
88,anal,12
89,pension,12
90,nephew,12
91,wacken,12
92,tokyo joshi pro-wrestling,12
93,based on visual novel,12
94,boat,12
95,family conflict,12
96,pop music,12
97,mountain lion,12
98,nuclear explosion,12
99,poker,12
100,dance film,12
101,recording,12
102,jocks,12
103,swordsman,12
104,russian invasion of ukraine,12
105,jewish history,12
106,horse race,12
107,dual identity,12
108,conspiracy theory,12
109,dress,12
110,wedding ceremony,12
111,angry mob,12
112,exodus,12
113,war refugees,12
114,italian filmmaker,12
115,granddaughter,12
116,anti war,12
117,death of sister,12
118,war photographer,12
119,mental hospital,12
120,metaphor,12
121,war trauma,12
122,greek mythology,12
123,algeria,12
124,immigration law,12
125,bleak,11
126,past,11
127,narrative,11
128,anxiety disorder,11
129,aspiring writer,11
130,educational,11
131,rubber/latex,11
132,dancers,11
133,kurdistan,11
134,darkness,11
135,shaving,11
136,teen angst,11
137,deaf girl,11
138,wild west,11
139,sex tape,11
140,advertising,11
141,farm,11
142,joyful,11
143,historical drama,11
144,elderly man,11
145,female masturbation,11
146,overcoming fears,11
147,retribution,11
148,christmas,11
149,vibrator,11
150,end of the world,11
151,midnight,11
152,bank teller,11
153,1980s,11
154,cartoonist,11
155,giant monster,11
156,live music,11
157,tv episode,11
158,roman catholic,11
159,sport competition,11
160,monochrome,11
161,thriller,11
162,bathroom sex,11
163,based on memoir or autobiography,11
164,american  way of life,11
165,pregnant,11
166,young boy,11
167,vejez,11
168,cultural revolution,11
169,butterfly,11
170,babies,11
171,divorcee,11
172,tragic hero,11
173,little girl,11
